Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
155,0.0625,1.9375,-1.5625,-0.04638672,0.05029297,0.9555664,0.02685547,0.1943359,-0.6948242
156,0,2.5625,-0.875,-0.05810547,0.01513672,0.9672852,0.02685547,0.1943359,-0.6948242
157,0.25,2.6875,-1.375,-0.05810547,0.03076172,0.9633789,0.02685547,0.1943359,-0.6948242
158,0.25,2.75,-1.375,-0.05419922,0.03857422,0.9633789,0.02685547,0.1953125,-0.6904297
159,0,2.4375,-1.3125,-0.05029297,0.02685547,0.9829102,0.02685547,0.1953125,-0.6904297
160,0,2.3125,-1.625,-0.04638672,0.02685547,0.9594727,0.02685547,0.1953125,-0.6904297
161,-0.0625,2.375,-1.375,-0.05419922,0.01123047,0.9594727,0.02099609,0.1967773,-0.6835938
162,0.125,2.6875,-1.75,-0.03857422,0.01513672,0.9555664,0.02099609,0.1967773,-0.6835938
163,0,1.8125,-1.125,-0.06201172,0.03857422,0.9594727,0.02099609,0.1967773,-0.6835938
164,0.5,2.875,-0.8125,-0.04248047,0.01513672,0.9711914,0.02099609,0.1967773,-0.6835938
165,0.0625,2.4375,-1.5,-0.05419922,0.01513672,0.9829102,0.02099609,0.1967773,-0.6835938
166,0.4375,2.75,-1.1875,-0.04638672,0.04638672,0.9594727,0.02099609,0.1967773,-0.6835938
167,0.3125,2.25,-1.3125,-0.04248047,0.03076172,0.9672852,0.02099609,0.1967773,-0.6835938
168,0.3125,1.8125,-1.625,-0.03076172,0.01904297,0.9555664,0.02685547,0.1977539,-0.6918945
169,1.3125,2.125,-1.3125,-0.05810547,0.02685547,0.9477539,0.02685547,0.1977539,-0.6918945
170,0.6875,2.6875,-1.25,-0.06982422,0.03466797,0.9750977,0.02685547,0.1977539,-0.6918945
171,0.4375,2.4375,-1.5,-0.06201172,0.03076172,0.9750977,0.02441406,0.1943359,-0.7001953
172,0.5625,2.4375,-1.375,-0.06201172,0.04248047,0.9829102,0.02441406,0.1943359,-0.7001953
173,0.8125,2.4375,-1.125,-0.06201172,0.04638672,0.9868164,0.02441406,0.1943359,-0.7001953
174,0.8125,1.8125,-1.25,-0.07373047,0.03857422,0.9633789,0.02197266,0.1933594,-0.6850586
175,0.75,2.5,-1.0625,-0.06201172,0.01513672,0.9829102,0.02197266,0.1933594,-0.6850586
176,0.5625,1.9375,-1.1875,-0.04248047,0.02294922,0.9438477,0.02197266,0.1933594,-0.6850586
177,0.9375,2.125,-0.9375,-0.05419922,0.02294922,0.9633789,0.02197266,0.1933594,-0.6850586
178,0.75,1.6875,-0.875,-0.05810547,0.01123047,0.9868164,0.01757813,0.1953125,-0.6875
179,0.875,1.5,-1.1875,-0.06982422,0.01513672,0.9790039,0.01757813,0.1953125,-0.6875
180,0.125,1.8125,-1,-0.06591797,0.03076172,0.9711914,0.01757813,0.1953125,-0.6875
181,0.6875,1.75,-1,-0.06591797,0.03466797,0.9829102,0.02197266,0.1953125,-0.6918945
182,0.6875,2.3125,-1.0625,-0.06201172,0.03857422,0.9594727,0.02197266,0.1953125,-0.6918945
183,1.3125,1.3125,-1,-0.07373047,0.01513672,0.9829102,0.02197266,0.1953125,-0.6918945
184,0.8125,1.375,-1.5,-0.05810547,0.04638672,0.9829102,0.0234375,0.1933594,-0.6889648
185,0.3125,1.25,-1.0625,-0.07373047,0.03857422,0.9711914,0.0234375,0.1933594,-0.6889648
186,0.3125,1.125,-1.5625,-0.04638672,0.01513672,0.9829102,0.0234375,0.1933594,-0.6889648
187,0.9375,1.4375,-1,-0.08154297,0.03076172,0.9868164,0.0234375,0.1933594,-0.6889648
188,0.8125,1.75,-1.375,-0.05810547,0.03076172,0.9594727,0.0234375,0.1977539,-0.6875
189,0.0625,1.1875,-1.0625,-0.03466797,0.01513672,0.9633789,0.0234375,0.1977539,-0.6875
190,0.875,1.5625,-1,-0.04248047,0.01513672,0.9555664,0.0234375,0.1977539,-0.6875
191,0.4375,1.4375,-0.9375,-0.04638672,0.03857422,0.9672852,0.02441406,0.1977539,-0.6865234
192,0.875,0.875,-1.1875,-0.06201172,0.04638672,0.9868164,0.02441406,0.1977539,-0.6865234
193,0.6875,1,-0.9375,-0.05810547,0.02294922,0.9829102,0.02441406,0.1977539,-0.6865234
194,0.5625,1.1875,-1.25,-0.04248047,0.03857422,0.9672852,0.02441406,0.1967773,-0.6918945
195,0.625,0.75,-0.5625,-0.04248047,0.03466797,0.9555664,0.02441406,0.1967773,-0.6918945
196,0.5625,1.0625,-1,-0.03857422,0.02294922,0.9711914,0.02441406,0.1967773,-0.6918945
197,0.625,1,-1.125,-0.06982422,0.03466797,0.9477539,0.02441406,0.1967773,-0.6918945
198,0.5,1.25,-0.375,-0.06201172,0.03076172,0.9633789,0.02441406,0.1967773,-0.6918945
199,0.8125,1.375,-1.125,-0.05029297,0.03076172,0.9868164,0.02441406,0.1967773,-0.6918945
200,0.9375,1.0625,-0.4375,-0.06982422,0.02294922,0.9868164,0.02441406,0.1967773,-0.6918945
201,0.1875,1.4375,-1.25,-0.05419922,0.03857422,0.9829102,0.03027344,0.1977539,-0.6865234
202,1.1875,1.3125,-0.625,-0.06591797,0.01513672,0.9672852,0.03027344,0.1977539,-0.6865234
203,1,0.75,-1.125,-0.05810547,0.03076172,0.9555664,0.03027344,0.1977539,-0.6865234
204,0.8125,1,-1.1875,-0.07373047,0.01513672,1.001953,0.02880859,0.1967773,-0.6889648
205,0.75,1.1875,-0.5625,-0.05029297,0.03857422,0.9672852,0.02880859,0.1967773,-0.6889648
206,1.625,1.1875,-0.75,-0.06982422,0.05419922,0.9750977,0.02880859,0.1967773,-0.6889648
207,0.9375,0.5625,-0.875,-0.06591797,0.05029297,0.9829102,0.02880859,0.1967773,-0.6889648
208,0.4375,0.625,-0.75,-0.06591797,0.01513672,0.9750977,0.02880859,0.1967773,-0.6889648
209,0.625,0.5,-1.3125,-0.05029297,0.03857422,0.9985352,0.02880859,0.1967773,-0.6889648
210,0.3125,0,-1.0625,-0.05419922,0.03466797,0.9633789,0.02880859,0.1967773,-0.6889648
211,0.3125,0.375,-0.875,-0.06591797,0.01513672,0.9829102,0.02880859,0.1953125,-0.6889648
212,0.4375,-0.1875,-0.9375,-0.05810547,0.03857422,0.9829102,0.02880859,0.1953125,-0.6889648
213,-0.125,0,0,-0.07373047,0.05029297,0.9555664,0.02880859,0.1953125,-0.6889648
214,0.3125,-0.375,-0.5,-0.06201172,0.03857422,0.9711914,0.02685547,0.1918945,-0.6835938
